file_relpath,line,uc_object,column,codepoint,claimed_label,truth_name,action,rationale
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Social_Activity.alter.sql,23,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_social_activity,ActionTypeID,4,Share,ManualPositionClose,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Social_Activity.alter.sql,23,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_social_activity,ActionTypeID,5,Automatic Post,CopyPositionClose,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,34,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,ContractType,3,RevShare,Rev,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,34,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,ContractType,4,Hybrid,Hyb,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,34,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,ContractType,7,Zero Commission,ZeroCost,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,34,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate_masked,ContractType,8,CPL/CPR,CPL,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,170,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate,ContractType,3,RevShare,Rev,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,170,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate,ContractType,4,Hybrid,Hyb,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,170,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate,ContractType,7,Zero Commission,ZeroCost,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.alter.sql,170,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_dim_affiliate,ContractType,8,CPL/CPR,CPL,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BillingDepot.alter.sql,28,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_billingdepot,FundingTypeID,8,MoneyBookers/Skrill,MoneyBookers,SUPPRESSED,Claim starts with truth; regex over-captured trailing prose.
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_MoveMoneyReason.alter.sql,27,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_movemoneyreason,MoveMoneyReasonID,5,InternalTransfer Trade,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_MoveMoneyReason.alter.sql,27,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_movemoneyreason,MoveMoneyReasonID,6,InternalTransfer,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_MoveMoneyReason.alter.sql,27,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_movemoneyreason,MoveMoneyReasonID,7,Not In Use,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_MoveMoneyReason.alter.sql,27,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_movemoneyreason,MoveMoneyReasonID,8,Recurring Deposit,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_MoveMoneyReason.alter.sql,27,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_movemoneyreason,MoveMoneyReasonID,9,Recurring Investment,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,90,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,MoveMoneyReasonID,5,InternalTransfer Trade,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,90,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,MoveMoneyReasonID,6,InternalTransfer,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,90,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,MoveMoneyReasonID,8,Recurring Deposit,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.alter.sql,90,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,MoveMoneyReasonID,9,Recurring Investment,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Dim_Transaction.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_dim_transaction,TxTypeID,2,ContactlessPayment,Contactless,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Dim_Transaction.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_dim_transaction,TxTypeID,3,CardCashWithdrawal,OnlinePayment,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Dim_Transaction.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_dim_transaction,TxTypeID,4,CardRefund,CashWithdrawal,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Dim_Transaction.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_dim_transaction,TxTypeID,5,Transfer,TransferReceived,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Dim_Transaction.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_dim_transaction,TxTypeID,6,TransferReceived,Transfer,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Dim_Transaction.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_dim_transaction,TxTypeID,11,CreditBankAccount,CreditBA,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Dim_Transaction.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_dim_transaction,TxTypeID,12,DebitBankAccount,DebitBA,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Dim_Transaction.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_dim_transaction,TxTypeID,13,OnlinePayment,DirectDebit,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Dim_Transaction.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_dim_transaction,TxTypeID,14,DirectDebit,CryptoToFiat,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Dim_Transaction.alter.sql,74,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_dim_transaction,TxStatusID,6,Reserved,,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Dim_Transaction.alter.sql,74,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_dim_transaction,TxStatusID,7,Cancelled,,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Fact_Transaction_Status.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_fact_transaction_status,TxTypeID,2,ContactlessPayment,Contactless,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Fact_Transaction_Status.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_fact_transaction_status,TxTypeID,3,CardCashWithdrawal,OnlinePayment,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Fact_Transaction_Status.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_fact_transaction_status,TxTypeID,4,CardRefund,CashWithdrawal,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Fact_Transaction_Status.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_fact_transaction_status,TxTypeID,5,Transfer,TransferReceived,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Fact_Transaction_Status.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_fact_transaction_status,TxTypeID,6,TransferReceived,Transfer,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Fact_Transaction_Status.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_fact_transaction_status,TxTypeID,11,CreditBankAccount,CreditBA,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Fact_Transaction_Status.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_fact_transaction_status,TxTypeID,12,DebitBankAccount,DebitBA,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Fact_Transaction_Status.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_fact_transaction_status,TxTypeID,13,OnlinePayment,DirectDebit,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Fact_Transaction_Status.alter.sql,36,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_fact_transaction_status,TxTypeID,14,DirectDebit,CryptoToFiat,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Fact_Transaction_Status.alter.sql,74,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_fact_transaction_status,TxStatusID,6,Reserved,,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Fact_Transaction_Status.alter.sql,74,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_fact_transaction_status,TxStatusID,7,Cancelled,,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_C2F_E2E.alter.sql,69,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,ConversionStatusID,4,Rejected,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_C2P_E2E.alter.sql,71,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2p_e2e,ConversionStatusID,4,Rejected,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_FactTransactions.alter.sql,44,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_facttransactions,ActionTypeID,1,Sent,ManualPositionOpen,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_FactTransactions.alter.sql,44,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_facttransactions,ActionTypeID,2,Recive,CopyPositionOpen,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_FactTransactions.alter.sql,57,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_facttransactions,TransactionTypeID,15,CustomerMoneyBack,,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_WalletInventory.alter.sql,37,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_walletinventory,LastWalletPoolStatus,10,Timeout,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_WalletInventory.alter.sql,37,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_walletinventory,LastWalletPoolStatus,11,VerifiedForAssign,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
