decision_id,column_name,target_dim,validation_status,n_affected,claimed_enum_block_example,current_desc_example,suggested_replacement,delusional_ids,mismatched_labels,missing_ids_from_canonical,target_dim_md,resolution_strategy,affected_targets_json,notes,decision,override_text
PaymentStatus_PaymentStatusID__Dim_PaymentStatus,PaymentStatus_PaymentStatusID,Dim_PaymentStatus,mismatched_labels,1,"1=Pending, 2=InProcess, 3=Processed, 4=Canceled, 5=Failed, 6=Reversed, 7=CompletedExternally","Primary key identifying the payment state. 1=Pending, 2=InProcess, 3=Processed, 4=Canceled, 5=Failed, 6=Reversed, 7=CompletedExternally. (Tier 1 — Dictionary.PaymentStatus)",Primary key identifying the payment state. FK to Dim_PaymentStatus. (Tier 1 — Dictionary.PaymentStatus),[],"[{""id"": 1, ""claimed"": ""Pending"", ""canonical"": ""New""}, {""id"": 2, ""claimed"": ""InProcess"", ""canonical"": ""Approved""}, {""id"": 3, ""claimed"": ""Processed"", ""canonical"": ""Decline""}, {""id"": 4, ""claimed"": ""Canceled"", ""canonical"": ""Technical""}, {""id"": 5, ""claimed"": ""Failed"", ""canonical"": ""InProcess""}, {""id"": 6, ""claimed"": ""Reversed"", ""canonical"": ""Canceled""}, {""id"": 7, ""claimed"": ""CompletedExternally"", ""canonical"": ""Confirmed""}]",[],knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PaymentStatus.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Deposits.md"", ""line_no"": 120, ""claimed_pairs"": ""1=Pending; 2=InProcess; 3=Processed; 4=Canceled; 5=Failed; 6=Reversed; 7=CompletedExternally""}]",,,
PaymentTypeID__Dim_PaymentStatus,PaymentTypeID,Dim_PaymentStatus,mismatched_labels,1,"1=Deposit, 2=Cashout, 3=Refund","Direction of payment flow. 1=Deposit, 2=Cashout, 3=Refund. References Dictionary.PaymentType. (Tier 1 - upstream wiki, Billing.Depot)","Direction of payment flow. FK to Dim_PaymentStatus. References Dictionary.PaymentType. (Tier 1 - upstream wiki, Billing.Depot)",[],"[{""id"": 1, ""claimed"": ""Deposit"", ""canonical"": ""New""}, {""id"": 2, ""claimed"": ""Cashout"", ""canonical"": ""Approved""}, {""id"": 3, ""claimed"": ""Refund"", ""canonical"": ""Decline""}]","[4, 5, 6, 7]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PaymentStatus.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BillingDepot.md"", ""line_no"": 107, ""claimed_pairs"": ""1=Deposit; 2=Cashout; 3=Refund""}]",,,
PlatformTypeID__Dim_PlatformType,PlatformTypeID,Dim_PlatformType,mismatched_labels,1,"1=Web, 2=iOS, 3=Web","FK to Dim_PlatformType. Platform used to open: 1=Web, 2=iOS, 3=Web, 0=. (Tier 2 - SP_Dim_Position_DL_To_Synapse)",FK to Dim_PlatformType. Platform used to open. FK to Dim_PlatformType. 0=. (Tier 2 - SP_Dim_Position_DL_To_Synapse),[],"[{""id"": 1, ""claimed"": ""Web"", ""canonical"": ""OpenBook DesktopWeb""}, {""id"": 2, ""claimed"": ""iOS"", ""canonical"": ""Trader DesktopWeb""}, {""id"": 3, ""claimed"": ""Web"", ""canonical"": ""OpenBook MobileWeb""}]",[4],knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlatformType.md,heuristic_<X>ID,"[{""wiki_md"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Position.md"", ""line_no"": 418, ""claimed_pairs"": ""1=Web; 2=iOS; 3=Web""}]",,,
PlayerLevel__Dim_PlayerLevel,PlayerLevel,Dim_PlayerLevel,mismatched_labels,1,"0=N/A, 1=Bronze, 2=Platinum, 3=Gold, 4=Internal (in-house / eToro-employee accounts), 5=Silver, 6=Platinum Plus, 7=Diamond","Customer player-level tier. FK to DWH_dbo.Dim_PlayerLevel. Per dictionary (verified 2026-05-13): 0=N/A, 1=Bronze, 2=Platinum, 3=Gold, 4=Internal (in-house / eToro-employee accounts), 5=Silver, 6=Platinum Plus, 7=Diamond. NOT a Popular Investor signal (PI is tracked by GuruStatusID). NOT a demo flag (demo is AccountTypeID=2). Default=0. (Tier 2 - DWH_dbo.Dim_PlayerLevel)",Customer player-level tier. FK to DWH_dbo.Dim_PlayerLevel. Per dictionary (verified 2026-05-13). FK to Dim_PlayerLevel. NOT a Popular Investor signal (PI is tracked by GuruStatusID). NOT a demo flag (demo is AccountTypeID=2). Default=0. (Tier 2 - DWH_dbo.Dim_PlayerLevel),[],"[{""id"": 0, ""claimed"": ""N/A"", ""canonical"": ""Internal (excluded""}, {""id"": 2, ""claimed"": ""Platinum"", ""canonical"": ""Silver""}, {""id"": 5, ""claimed"": ""Silver"", ""canonical"": ""Platinum Plus""}, {""id"": 6, ""claimed"": ""Platinum Plus"", ""canonical"": ""Diamond""}]",[4],knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerLevel.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_LimitedAccountsWithReasonsNEW.md"", ""line_no"": 153, ""claimed_pairs"": ""0=N/A; 1=Bronze; 2=Platinum; 3=Gold; 5=Silver; 6=Platinum Plus; 7=Diamond""}]",,,
Previous_ClubID__Dim_PlayerLevel,Previous_ClubID,Dim_PlayerLevel,mismatched_labels,1,"0=N/A (first assignment), 1=Bronze, 2=Platinum, 3=Gold, 5=Silver, 6=Platinum Plus, 7=Diamond","PlayerLevelID of the tier before the upgrade: 0=N/A (first assignment), 1=Bronze, 2=Platinum, 3=Gold, 5=Silver, 6=Platinum Plus, 7=Diamond. ETL-computed via LAG window function on Fact_SnapshotCustomer. (Tier 2 — SP_eMoney_Reports_Daily)",PlayerLevelID of the tier before the upgrade. FK to Dim_PlayerLevel. ETL-computed via LAG window function on Fact_SnapshotCustomer. (Tier 2 — SP_eMoney_Reports_Daily),[],"[{""id"": 0, ""claimed"": ""N/A (first assignment"", ""canonical"": ""Internal (excluded""}, {""id"": 2, ""claimed"": ""Platinum"", ""canonical"": ""Silver""}, {""id"": 5, ""claimed"": ""Silver"", ""canonical"": ""Platinum Plus""}, {""id"": 6, ""claimed"": ""Platinum Plus"", ""canonical"": ""Diamond""}]",[4],knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerLevel.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Reports_ClubUpgrade.md"", ""line_no"": 145, ""claimed_pairs"": ""0=N/A (first assignment; 1=Bronze; 2=Platinum; 3=Gold; 5=Silver; 6=Platinum Plus; 7=Diamond""}]",,,
RollbackReason__Dim_ClosePositionReason,RollbackReason,Dim_ClosePositionReason,mismatched_labels,1,"0=default/unknown, 1=standard rollback, 3=dominant reason (83% of events), 4=correction events","Reason code for the rollback. Maps to @RollbackType parameter in AddCashoutRollbackTrackingRecord. No Dictionary lookup table exists. Observed values: 0=default/unknown, 1=standard rollback, 3=dominant reason (83% of events), 4=correction events. DWH note: renamed from `CashoutRollbackTracking.RollbackReasonID`. (Tier 1 — upstream wiki, Billing.CashoutRollbackTracking)","Reason code for the rollback. Maps to @RollbackType parameter in AddCashoutRollbackTrackingRecord. No Dictionary lookup table exists. Observed values. FK to Dim_ClosePositionReason. DWH note: renamed from `CashoutRollbackTracking.RollbackReasonID`. (Tier 1 — upstream wiki, Billing.CashoutRollbackTracking)",[],"[{""id"": 0, ""claimed"": ""default/unknown"", ""canonical"": ""Customer (manual""}, {""id"": 1, ""claimed"": ""standard rollback"", ""canonical"": ""Stop Loss""}, {""id"": 4, ""claimed"": ""correction events"", ""canonical"": ""Return to Market""}]","[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ClosePositionReason.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Cashout_Rollback.md"", ""line_no"": 148, ""claimed_pairs"": ""0=default/unknown; 1=standard rollback; 4=correction events""}]",,,
ThreeDsResponseTypeID__Dim_ThreeDsResponseTypes,ThreeDsResponseTypeID,Dim_ThreeDsResponseTypes,mismatched_labels,1,"0=Unspecified, 1=Success, 2=Failed Signature, 3=Not Enrolled, 4=Enrollment Unavailable, 5=Bypassed Enrollment, 6=Enrollment Error, 7=Timeout, 8=Failed Authentication, 9=Authentication Error, 10=Authentication Unavailable, 11=Bypassed Authentication, 12=Missing Authentication, 13=Skipped 3ds, 14=Unexpected","Primary key for the 3DS authentication outcome. Clustered index key. 0=Unspecified, 1=Success, 2=Failed Signature, 3=Not Enrolled, 4=Enrollment Unavailable, 5=Bypassed Enrollment, 6=Enrollment Error, 7=Timeout, 8=Failed Authentication, 9=Authentication Error, 10=Authentication Unavailable, 11=Bypassed Authentication, 12=Missing Authentication, 13=Skipped 3ds, 14=Unexpected. Referenced via the XML-extracted `ThreeDsResponseType` column in Fact_BillingDeposit. (Tier 1 — upstream wiki, Dictionary.ThreeDsResponseTypes)","Primary key for the 3DS authentication outcome. Clustered index key. FK to Dim_ThreeDsResponseTypes. Referenced via the XML-extracted `ThreeDsResponseType` column in Fact_BillingDeposit. (Tier 1 — upstream wiki, Dictionary.ThreeDsResponseTypes)",[],"[{""id"": 6, ""claimed"": ""Enrollment Error"", ""canonical"": ""Error""}]",[],knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ThreeDsResponseTypes.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ThreeDsResponseTypes.md"", ""line_no"": 99, ""claimed_pairs"": ""0=Unspecified; 1=Success; 2=Failed Signature; 3=Not Enrolled; 4=Enrollment Unavailable; 5=Bypassed Enrollment; 6=Enrollment Error; 7=Timeout; 8=Failed Authentication; 9=Authentication Error; 10=Authentication Unavailable; 11=Bypassed Authentication; 12=Missing Authentication; 13=Skipped 3ds; 14=Unexpected""}]",,,
WalletRegulation__Dim_Regulation,WalletRegulation,Dim_Regulation,mismatched_labels,1,"1=eToroX, 2=US, 3=Germany, 4=eToro DA, 5=eToro SEY","Human-readable regulation entity name. SP-computed CASE WHEN from TypeID: 1=eToroX, 2=US, 3=Germany, 4=eToro DA, 5=eToro SEY. (Tier 2 — SP_EXW_WalletRegulation)",Human-readable regulation entity name. SP-computed CASE WHEN from TypeID. FK to Dim_Regulation. (Tier 2 — SP_EXW_WalletRegulation),[],"[{""id"": 1, ""claimed"": ""eToroX"", ""canonical"": ""CySEC""}, {""id"": 2, ""claimed"": ""US"", ""canonical"": ""FCA""}, {""id"": 3, ""claimed"": ""Germany"", ""canonical"": ""NFA""}, {""id"": 4, ""claimed"": ""eToro DA"", ""canonical"": ""ASIC""}, {""id"": 5, ""claimed"": ""eToro SEY"", ""canonical"": ""BVI""}]","[0, 6, 7, 8, 9, 10, 11, 12, 13, 14]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Regulation.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_WalletRegulation.md"", ""line_no"": 128, ""claimed_pairs"": ""1=eToroX; 2=US; 3=Germany; 4=eToro DA; 5=eToro SEY""}]",,,
InstrumentType__Dim_Instrument,InstrumentType,Dim_Instrument,partial,14,"1=Currencies, 2=Commodities, 4=Indices, 5=Stocks, 6=ETF, 10=Crypto Currencies","ETL-computed asset class label. CASE on InstrumentTypeID: 1=Currencies, 2=Commodities, 4=Indices, 5=Stocks, 6=ETF, 10=Crypto Currencies, else Other. (Tier 1 — DWH_dbo.Dim_Instrument.InstrumentType via SP_Dim_Instrument)",ETL-computed asset class label. CASE on InstrumentTypeID. FK to Dim_Instrument. else Other. (Tier 1 — DWH_dbo.Dim_Instrument.InstrumentType via SP_Dim_Instrument),[],[],"[0, 3, 7, 8, 9]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Instrument.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CashRiskMatrix.md"", ""line_no"": 156, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Daily_TradeData.md"", ""line_no"": 130, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyNOP_ByInstrument.md"", ""line_no"": 118, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyZeroPnL_Stocks.md"", ""line_no"": 94, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_FSRA_Weekly_Report.md"", ""line_no"": 126, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Instrument_Overview.md"", ""line_no"": 140, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PositionHoldingTime.md"", ""line_no"": 126, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Subsidieries_Realized_Commissions_Adjustments.md"", ""line_no"": 117, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_UK_CommissionReport_byLeverage.md"", ""line_no"": 123, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Boundary_Cost.md"", ""line_no"": 176, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Clicks_OpenClose_Breakdown.md"", ""line_no"": 167, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_NumberofPositionsOpened_Agg.md"", ""line_no"": 115, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_RiskMatrix_V2.md"", ""line_no"": 108, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Instrument.md"", ""line_no"": 144, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}]",,,
MirrorTypeID__Dim_MirrorType,MirrorTypeID,Dim_MirrorType,partial,3,"1=Regular, 2=CopyMe, 3=Social Index","1=Regular, 2=CopyMe, 3=Social Index, 4=Fund (Dictionary.MirrorType). Always 4 in this table — the SP filters WHERE MirrorTypeID=4. (Tier 1 — DWH_dbo.Dim_Mirror via Trade.Mirror)",FK to Dim_MirrorType. 4=Fund (Dictionary.MirrorType). Always 4 in this table — the SP filters WHERE MirrorTypeID=4. (Tier 1 — DWH_dbo.Dim_Mirror via Trade.Mirror),[],[],[4],knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_MirrorType.md,heuristic_<X>ID,"[{""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CopyFund_Positions.md"", ""line_no"": 87, ""claimed_pairs"": ""1=Regular; 2=CopyMe; 3=Social Index""}, {""wiki_md"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Mirror.md"", ""line_no"": 148, ""claimed_pairs"": ""1=Regular; 2=CopyMe; 3=Social Index""}, {""wiki_md"": ""knowledge/synapse/Wiki/DWH_dbo/Views/v_Dim_Mirror.md"", ""line_no"": 88, ""claimed_pairs"": ""1=Regular; 2=CopyMe; 3=Social Index""}]",,,
PlayerStatusID__Dim_PlayerStatus,PlayerStatusID,Dim_PlayerStatus,partial,3,"0=N/A, 1=Normal, 2=Blocked, 3=Chat Blocked, 4=Blocked Upon Request, 5=Warning, 6=Blocked-Under Investigation, 7=Scalpers Block, 8=Blocked-PayPal Investigation, 9=Trade & MIMO Blocked, 10=Deposit Blocked, 11=Social Index, 12=Copy Block, 13=Pending Verification","AML-driven PlayerStatus code applied to the customer. 0=N/A, 1=Normal, 2=Blocked, 3=Chat Blocked, 4=Blocked Upon Request, 5=Warning, 6=Blocked-Under Investigation, 7=Scalpers Block, 8=Blocked-PayPal Investigation, 9=Trade & MIMO Blocked, 10=Deposit Blocked, 11=Social Index, 12=Copy Block, 13=Pending Verification, 14=Blocked–Failed Verification, 15=Block Deposit & Trading (FK to Dim_PlayerStatus). (Tier 3 — DWH_dbo.Dim_PlayerStatus)","AML-driven PlayerStatus code applied to the customer. FK to Dim_PlayerStatus. 14=Blocked–Failed Verification, 15=Block Deposit & Trading (FK to Dim_PlayerStatus). (Tier 3 — DWH_dbo.Dim_PlayerStatus)",[],[],"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 15]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerStatus.md,heuristic_<X>ID,"[{""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Benchmarks_AML_Alerts.md"", ""line_no"": 108, ""claimed_pairs"": ""0=N/A; 1=Normal; 2=Blocked; 3=Chat Blocked; 4=Blocked Upon Request; 5=Warning; 6=Blocked-Under Investigation; 7=Scalpers Block; 8=Blocked-PayPal Investigation; 9=Trade & MIMO Blocked; 10=Deposit Blocked; 11=Social Index; 12=Copy Block; 13=Pending Verification""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_LimitedAccountsWithReasons.md"", ""line_no"": 190, ""claimed_pairs"": ""5=Warning; 9=Trade & MIMO Blocked; 10=Deposit Blocked; 12=Copy Block; 13=Pending Verification; 15=Block Deposit & Trading""}, {""wiki_md"": ""knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_AML_Users_Report.md"", ""line_no"": 207, ""claimed_pairs"": ""1=Normal; 5=Warning; 12=Copy Block""}]",,,
ContractType__Dim_ContractType,ContractType,Dim_ContractType,partial,2,"0=N/A, 2=CPA, 3=Rev, 4=Hyb, 6=eCost, 7=ZeroCost, 8=CPL","Commercial contract type code. 0=N/A, 2=CPA, 3=Rev, 4=Hyb, 6=eCost, 7=ZeroCost, 8=CPL. Drives how the affiliate is compensated. (Tier 2 — SP_AML_Affiliate_Abuse Step 02 via Dim_Affiliate)",Commercial contract type code. FK to Dim_ContractType. Drives how the affiliate is compensated. (Tier 2 — SP_AML_Affiliate_Abuse Step 02 via Dim_Affiliate),[],[],"[1, 5]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ContractType.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Affiliate_Abuse_Aff_data.md"", ""line_no"": 145, ""claimed_pairs"": ""0=N/A; 2=CPA; 3=Rev; 4=Hyb; 6=eCost; 7=ZeroCost; 8=CPL""}, {""wiki_md"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Affiliate.md"", ""line_no"": 145, ""claimed_pairs"": ""0=N/A; 2=CPA; 3=Rev; 4=Hyb; 6=eCost; 7=ZeroCost; 8=CPL""}]",,,
FieldID__Dim_ExtendedUserField,FieldID,Dim_ExtendedUserField,partial,2,"0=province, 6=TaxId, 7=NationalPin","FK to Dictionary.ExtendedUserField. Identifies which field: 0=province, 6=TaxId, 7=NationalPin, etc. Always 6 (TaxId) in this table. (Tier 1 — UserApiDB.Customer.ExtendedUserField)",FK to Dictionary.ExtendedUserField. Identifies which field. FK to Dim_ExtendedUserField. etc. Always 6 (TaxId) in this table. (Tier 1 — UserApiDB.Customer.ExtendedUserField),[],[],"[1, 2, 3, 4, 5, 8, 9, 10, 11]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ExtendedUserField.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Tax_Compliance_TIN.md"", ""line_no"": 129, ""claimed_pairs"": ""0=province; 6=TaxId; 7=NationalPin""}, {""wiki_md"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ExtendedUserField.md"", ""line_no"": 117, ""claimed_pairs"": ""0=province; 1=SecondSurname; 2=CodeFiscale; 3=SocialInsuranceNumber; 4=NIF; 5=SubBuildingNumber; 6=TaxId; 7=NationalPin; 8=EmployerName; 9=DepositQuestion; 10=WithdrawQuestion; 11=DedicatedEv""}]",,,
InstrumentTypeName__Dim_Instrument,InstrumentTypeName,Dim_Instrument,partial,2,"1=Currencies, 2=Commodities, 4=Indices, 5=Stocks, 6=ETF, 10=Crypto Currencies","Text label for InstrumentTypeID — DWH-computed via CASE: 1=Currencies, 2=Commodities, 4=Indices, 5=Stocks, 6=ETF, 10=Crypto Currencies, else=Other. Use InstrumentTypeID for filtering; InstrumentType for display. (Tier 2 — SP_Dim_Instrument). Always 'Stocks' in this table.",Text label for InstrumentTypeID — DWH-computed via CASE. FK to Dim_Instrument. else=Other. Use InstrumentTypeID for filtering; InstrumentType for display. (Tier 2 — SP_Dim_Instrument). Always 'Stocks' in this table.,[],[],"[0, 3, 7, 8, 9]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Instrument.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Finance_Panel_Reports_New.md"", ""line_no"": 159, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Instruments_BidAndAsk.md"", ""line_no"": 114, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}]",,,
PlatformID__Dim_Platform,PlatformID,Dim_Platform,partial,2,"0=Undefined, 1=Web, 2=IOS","Platform identifier. In production Customer.CustomerStatic this is a nullable int with 4 known values: 0=Undefined, 1=Web, 2=IOS, 3=Android (confirmed from Dim_Platform lookup). (Tier 1 - upstream wiki, Customer.CustomerStatic)","Platform identifier. In production Customer.CustomerStatic this is a nullable int with 4 known values. FK to Dim_Platform. 3=Android (confirmed from Dim_Platform lookup). (Tier 1 - upstream wiki, Customer.CustomerStatic)",[],[],[3],knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Platform.md,heuristic_<X>ID,"[{""wiki_md"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md"", ""line_no"": 119, ""claimed_pairs"": ""0=Undefined; 1=Web; 2=IOS""}, {""wiki_md"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Funnel.md"", ""line_no"": 130, ""claimed_pairs"": ""0=Undefined; 1=Web; 2=iOS; 3=Android""}]",,,
RevenueMetricCategoryID__Dim_Revenue_Metrics,RevenueMetricCategoryID,Dim_Revenue_Metrics,partial,2,"1=TradeTransactional, 2=Overnight, 3=MIMO, 4=RevShare","Category surrogate key 1-5. 1=TradeTransactional, 2=Overnight, 3=MIMO, 4=RevShare, 5=Other — inherited from **`Dim_Revenue_Metrics`** (plus staking/options seeded pairs). **(Tier 1 — UC sample)**",Category surrogate key 1-5. FK to Dim_Revenue_Metrics. 5=Other — inherited from **`Dim_Revenue_Metrics`** (plus staking/options seeded pairs). **(Tier 1 — UC sample)**,[],[],[5],knowledge/synapse/Wiki/BI_DB_dbo/Tables/Dim_Revenue_Metrics.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_Revenue_Generating_Actions.md"", ""line_no"": 177, ""claimed_pairs"": ""1=TradeTransactional; 2=Overnight; 3=MIMO; 4=RevShare""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/Dim_Revenue_Metrics.md"", ""line_no"": 82, ""claimed_pairs"": ""1=TradeTransactional; 2=Overnight; 3=MIMO; 4=RevShare; 5=Other""}]",,,
instrument_type_id__Dim_Instrument,instrument_type_id,Dim_Instrument,partial,2,"1=Currencies, 2=Commodities, 4=Indices, 5=Stocks, 6=ETF, 10=Crypto","Asset class identifier: 1=Currencies, 2=Commodities, 4=Indices, 5=Stocks, 6=ETF, 10=Crypto. (Tier 2 — SP_Islamic_Administrative_Fee)",Asset class identifier. FK to Dim_Instrument. (Tier 2 — SP_Islamic_Administrative_Fee),[],[],"[0, 3, 5, 6, 7, 8, 9, 10]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Instrument.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Islamic_Admin_Fee_Per_Group.md"", ""line_no"": 62, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto""}, {""wiki_md"": ""knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Islamic_Instruments_Groups.md"", ""line_no"": 32, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices""}]",,,
CardTypeID__Dim_CardType,CardTypeID,Dim_CardType,partial,1,"1=Visa, 2=Master Card, 13=Local Card","FK to DWH_dbo.Dim_CardType (if exists). Card network/type: 1=Visa, 2=Master Card, 13=Local Card. Used in deposit routing and reporting. (Tier 1 - Dictionary.CountryBin6 upstream wiki)",FK to DWH_dbo.Dim_CardType (if exists). Card network/type. FK to Dim_CardType. Used in deposit routing and reporting. (Tier 1 - Dictionary.CountryBin6 upstream wiki),[],[],"[0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CardType.md,heuristic_<X>ID,"[{""wiki_md"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CountryBin.md"", ""line_no"": 117, ""claimed_pairs"": ""1=Visa; 2=Master Card; 13=Local Card""}]",,,
