object,column,claim_type,wiki_value,truth_value,truth_source,wiki_file,wiki_line,verdict_source,verdict,contradicting_fact_verbatim,raw_context
Dim_CostType,CostTypeId,description,"Primary key. Top-level cost category ID. Maps to: 1=Markup (spread revenue), 2=CurrencyMarkup (FX conversion charge), 3=Fee (explicit per-trade fee), 4=Tax (regulatory tax). DWH note: sourced from `Id` column in HistoryCosts staging, renamed to CostTypeId. (Tier 2 - SP_Dictionaries_DL_To_Synapse)",Cost category identifier (nullable). Loaded by SP_Dictionaries_DL_To_Synapse from a HistoryCosts staging source. Not a primary key.,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CostType.md,102,llm,WRONG,CostTypeId int NULL,"Primary key. Top-level cost category ID. Maps to: 1=Markup (spread revenue), 2=CurrencyMarkup (FX conversion charge), 3=Fee (explicit per-trade fee), 4=Tax (regulatory tax). DWH note: sourced from `Id` column in HistoryCosts staging, renamed to CostTypeId. (Tier 2 - SP_Dictionaries_DL_To_Synapse)"
Dim_Country,IsHighRiskCountry,description,"AML/compliance risk flag. 0=standard risk, 1=high risk. RECOMPUTED by SP from RiskGroupID: `CASE WHEN RiskGroupID IN (0,4) THEN 0 ELSE 1 END`. 179 high-risk countries. Triggers enhanced due diligence and stricter transaction monitoring. (Tier 2 - SP_Dictionaries_Country_DL_To_Synapse)","AML/compliance risk flag. 0=standard risk, 1=high risk. Recomputed by SP from RiskGroupID: CASE WHEN RiskGroupID IN (0,4) THEN 0 ELSE 1 END — countries with RiskGroupID 1, 2, or 3 are flagged high-risk (14 countries per upstream Dictionary.Country). Triggers enhanced due diligence.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Country.md,159,llm,WRONG,"14 countries are flagged as high-risk, triggering enhanced due diligence (EDD) during onboarding and ongoing monitoring.","AML/compliance risk flag. 0=standard risk, 1=high risk. RECOMPUTED by SP from RiskGroupID: `CASE WHEN RiskGroupID IN (0,4) THEN 0 ELSE 1 END`. 179 high-risk countries. Triggers enhanced due diligence and stricter transaction monitoring. (Tier 2 - SP_Dictionaries_Country_DL_To_Synapse)"
Dim_Country,IsHighRiskCountry,description,"AML/compliance risk flag. 0=standard risk, 1=high risk. RECOMPUTED by SP from RiskGroupID: `CASE WHEN RiskGroupID IN (0,4) THEN 0 ELSE 1 END`. 179 high-risk countries. Triggers enhanced due diligence and stricter transaction monitoring. (Tier 2 - SP_Dictionaries_Country_DL_To_Synapse)","AML/compliance risk flag. 0=standard risk, 1=high risk. Recomputed by SP from RiskGroupID: CASE WHEN RiskGroupID IN (0,4) THEN 0 ELSE 1 END — countries with RiskGroupID 1, 2, or 3 are flagged high-risk (14 countries per upstream Dictionary.Country). Triggers enhanced due diligence.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Country.alter.sql,31,llm,WRONG,"14 countries are flagged as high-risk, triggering enhanced due diligence (EDD) during onboarding and ongoing monitoring.","AML/compliance risk flag. 0=standard risk, 1=high risk. RECOMPUTED by SP from RiskGroupID: `CASE WHEN RiskGroupID IN (0,4) THEN 0 ELSE 1 END`. 179 high-risk countries. Triggers enhanced due diligence and stricter transaction monitoring. (Tier 2 - SP_Dictionaries_Country_DL_To_Synapse)"
Dim_Country,Region,description,"Marketing region label for this country. Loaded from etoro.Dictionary.MarketingRegion.Name via JOIN on MarketingRegionID. NOT the geographic region from Dictionary.Region. 22 distinct values (e.g., ""ROW"", ""Africa"", ""French"", ""Arabic Other""). Used for marketing campaign grouping. (Tier 2 - SP_Dictionaries_Country_DL_To_Synapse)","Marketing region label for this country. Loaded from Dictionary.MarketingRegion.Name via JOIN on MarketingRegionID. NOT the geographic region from Dictionary.Region. Up to 21 distinct values (e.g., ""ROW"", ""Africa"", ""French"", ""Arabic""). Used for marketing campaign grouping.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Country.md,160,llm,WRONG,"Lookup table defining the 21 geographic marketing segments used for customer acquisition, localization, and regional reporting.","Marketing region label for this country. Loaded from etoro.Dictionary.MarketingRegion.Name via JOIN on MarketingRegionID. NOT the geographic region from Dictionary.Region. 22 distinct values (e.g., ""ROW"", ""Africa"", ""French"", ""Arabic Other""). Used for marketing campaign grouping. (Tier 2 - SP_Diction"
Dim_Country,Region,description,"Marketing region label for this country. Loaded from etoro.Dictionary.MarketingRegion.Name via JOIN on MarketingRegionID. NOT the geographic region from Dictionary.Region. 22 distinct values (e.g., ""ROW"", ""Africa"", ""French"", ""Arabic Other""). Used for marketing campaign grouping. (Tier 2 - SP_Dictionaries_Country_DL_To_Synapse)","Marketing region label for this country. Loaded from Dictionary.MarketingRegion.Name via JOIN on MarketingRegionID. NOT the geographic region from Dictionary.Region. Up to 21 distinct values (e.g., ""ROW"", ""Africa"", ""French"", ""Arabic""). Used for marketing campaign grouping.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Country.alter.sql,32,llm,WRONG,"Lookup table defining the 21 geographic marketing segments used for customer acquisition, localization, and regional reporting.","Marketing region label for this country. Loaded from etoro.Dictionary.MarketingRegion.Name via JOIN on MarketingRegionID. NOT the geographic region from Dictionary.Region. 22 distinct values (e.g., ""ROW"", ""Africa"", ""French"", ""Arabic Other""). Used for marketing campaign grouping. (Tier 2 - SP_Diction"
Dim_Country,MarketingRegionID,description,FK to etoro.Dictionary.MarketingRegion. Marketing segment ID grouping countries by marketing strategy. Distinct from geographic RegionID (which is dropped in DWH). 22 distinct values matching the 22 Region labels. (Tier 1 - Dictionary.Country upstream wiki),"FK to Dictionary.MarketingRegion. Marketing segment ID grouping countries by marketing strategy. Distinct from geographic RegionID (which is not carried into the DWH). 21 defined values (0=Unknown through 99=eToro, with gaps).",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Country.md,169,llm,WRONG,"Lookup table defining the 21 geographic marketing segments used for customer acquisition, localization, and regional reporting.",FK to etoro.Dictionary.MarketingRegion. Marketing segment ID grouping countries by marketing strategy. Distinct from geographic RegionID (which is dropped in DWH). 22 distinct values matching the 22 Region labels. (Tier 1 - Dictionary.Country upstream wiki)
Dim_Country,MarketingRegionID,description,FK to etoro.Dictionary.MarketingRegion. Marketing segment ID grouping countries by marketing strategy. Distinct from geographic RegionID (which is dropped in DWH). 22 distinct values matching the 22 Region labels. (Tier 1 - Dictionary.Country upstream wiki),"FK to Dictionary.MarketingRegion. Marketing segment ID grouping countries by marketing strategy. Distinct from geographic RegionID (which is not carried into the DWH). 21 defined values (0=Unknown through 99=eToro, with gaps).",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Country.alter.sql,41,llm,WRONG,"Lookup table defining the 21 geographic marketing segments used for customer acquisition, localization, and regional reporting.",FK to etoro.Dictionary.MarketingRegion. Marketing segment ID grouping countries by marketing strategy. Distinct from geographic RegionID (which is dropped in DWH). 22 distinct values matching the 22 Region labels. (Tier 1 - Dictionary.Country upstream wiki)
Dim_CountryBin,BinCode,description,"Bank Identification Number. First 6 or 8 digits of the card number identifying the issuing bank and card product. Values < 10,000,000 are 6-digit BINs; >= 10,000,000 are 8-digit BINs. Clustered index key for fast lookups. (Tier 1 - Dictionary.CountryBin6 upstream wiki)","Bank Identification Number (6-digit). First 6 digits of the card number identifying the issuing bank and card product. Part of the composite primary key with CountryID. Source upstream table enforces BinCode < 10,000,000 via CHECK constraint; 8-digit BINs are stored separately in Dictionary.CountryBin8.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CountryBin.md,115,llm,WRONG,The CHECK constraint (BinCode < 10000000) ensures only 6-digit BINs are stored here. BINs of 8 digits or more belong in Dictionary.CountryBin8.,"Bank Identification Number. First 6 or 8 digits of the card number identifying the issuing bank and card product. Values < 10,000,000 are 6-digit BINs; >= 10,000,000 are 8-digit BINs. Clustered index key for fast lookups. (Tier 1 - Dictionary.CountryBin6 upstream wiki)"
Dim_CountryBin,BinCode,description,"Bank Identification Number. First 6 or 8 digits of the card number identifying the issuing bank and card product. Values < 10,000,000 are 6-digit BINs; >= 10,000,000 are 8-digit BINs. Clustered index key for fast lookups. (Tier 1 - Dictionary.CountryBin6 upstream wiki)","Bank Identification Number (6-digit). First 6 digits of the card number identifying the issuing bank and card product. Part of the composite primary key with CountryID. Source upstream table enforces BinCode < 10,000,000 via CHECK constraint; 8-digit BINs are stored separately in Dictionary.CountryBin8.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CountryBin.alter.sql,28,llm,WRONG,The CHECK constraint (BinCode < 10000000) ensures only 6-digit BINs are stored here. BINs of 8 digits or more belong in Dictionary.CountryBin8.,"Bank Identification Number. First 6 or 8 digits of the card number identifying the issuing bank and card product. Values < 10,000,000 are 6-digit BINs; >= 10,000,000 are 8-digit BINs. Clustered index key for fast lookups. (Tier 1 - Dictionary.CountryBin6 upstream wiki)"
Dim_CountryIPAnonymous,CountryCode,description,"ISO 3166-1 alpha-2 country code from IP2Location (e.g., ""AU"", ""JP""). Source column: `ISNULL(country_code, 'NA')` - NULL guard prevents Namibia rows from being silently dropped. Used to resolve CountryID via JOIN to Dim_Country.Abbreviation. (Tier 2 - SP_Dictionaries_Country_DL_To_Synapse)","ISO 3166-1 alpha-2 country code from IP2Location. Source: `ISNULL(country_code, 'NA')` — NULLs are replaced with 'NA', which is Namibia's ISO code, so unknown-country IPs will masquerade as Namibia. Used to resolve CountryID via JOIN to Dim_Country.Abbreviation.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CountryIPAnonymous.md,112,llm,WRONG,"isnull([country_code],'NA') --Namibia","ISO 3166-1 alpha-2 country code from IP2Location (e.g., ""AU"", ""JP""). Source column: `ISNULL(country_code, 'NA')` - NULL guard prevents Namibia rows from being silently dropped. Used to resolve CountryID via JOIN to Dim_Country.Abbreviation. (Tier 2 - SP_Dictionaries_Country_DL_To_Synapse)"
Dim_CountryIPAnonymousProxyType,ProxyType,description,"Primary key — 3-character IP2Location proxy type code. Values: DCH (Data Center/CDN), PUB (Public Proxy), SES (Search Engine Bot), TOR (Tor Exit Node), VPN (Anonymizing VPN), WEB (Web Proxy). Used as the JOIN key to decode proxy codes in Dim_CountryIPAnonymous and Fact_CustomerAction. (Tier 3 — live data, DWH_dbo.Dim_CountryIPAnonymousProxyType)",3-character IP2Location proxy type code (nullable varchar(3)). Not a formal primary key per DDL. Used to categorise proxy connections detected by IP geolocation.,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CountryIPAnonymousProxyType.md,125,llm,WRONG,ProxyType varchar(3) NULL,"Primary key — 3-character IP2Location proxy type code. Values: DCH (Data Center/CDN), PUB (Public Proxy), SES (Search Engine Bot), TOR (Tor Exit Node), VPN (Anonymizing VPN), WEB (Web Proxy). Used as the JOIN key to decode proxy codes in Dim_CountryIPAnonymous and Fact_CustomerAction. (Tier 3 — live"
Dim_Customer,LabelID,description,Internal segment label. FK to Dictionary.Label. LabelID=26 = BonusOnly customer (triggers IsHedged=0). Default=0. (Tier 1 — Customer.CustomerStatic),"Internal segment label. FK to Dictionary.Label. LabelID values 26 and 30 are excluded from IsValidCustomer logic. Default=0. IsHedged=0 is triggered by presence in BackOffice.BonusOnlyCustomers, not by LabelID.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,160,llm,WRONG,"every INSERT sets Customer.Customer.IsHedged=0 (disable hedging for this customer), and every DELETE sets IsHedged=1 (re-enable hedging)",Internal segment label. FK to Dictionary.Label. LabelID=26 = BonusOnly customer (triggers IsHedged=0). Default=0. (Tier 1 — Customer.CustomerStatic)
Dim_Customer,AffiliateID,description,Affiliate (partner) ID under which the customer was acquired (renamed from SerialID). FK to BackOffice.Affiliate. NULL for direct/organic registrations. (Tier 1 — Customer.CustomerStatic),Affiliate (partner) ID under which the customer was acquired (mapped from SerialID). FK to BackOffice.Affiliate. 0 for direct/organic registrations (NULLs are converted to 0 by SP_Dim_Customer).,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,157,llm,WRONG,"ISNULL(AffiliateID,0) AS AffiliateID",Affiliate (partner) ID under which the customer was acquired (renamed from SerialID). FK to BackOffice.Affiliate. NULL for direct/organic registrations. (Tier 1 — Customer.CustomerStatic)
Dim_Customer,AffiliateID,description,Affiliate (partner) ID under which the customer was acquired (renamed from SerialID). FK to BackOffice.Affiliate. NULL for direct/organic registrations. (Tier 1 - Customer.CustomerStatic),Affiliate (partner) ID under which the customer was acquired (mapped from SerialID). FK to BackOffice.Affiliate. 0 for direct/organic registrations (NULLs are converted to 0 by SP_Dim_Customer).,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,50,llm,WRONG,"ISNULL(AffiliateID,0) AS AffiliateID",Affiliate (partner) ID under which the customer was acquired (renamed from SerialID). FK to BackOffice.Affiliate. NULL for direct/organic registrations. (Tier 1 - Customer.CustomerStatic)
Dim_Customer,AffiliateID,description,Affiliate (partner) ID under which the customer was acquired (renamed from SerialID). FK to BackOffice.Affiliate. NULL for direct/organic registrations. (Tier 1 - Customer.CustomerStatic),Affiliate (partner) ID under which the customer was acquired (mapped from SerialID). FK to BackOffice.Affiliate. 0 for direct/organic registrations (NULLs are converted to 0 by SP_Dim_Customer).,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,287,llm,WRONG,"ISNULL(AffiliateID,0) AS AffiliateID",Affiliate (partner) ID under which the customer was acquired (renamed from SerialID). FK to BackOffice.Affiliate. NULL for direct/organic registrations. (Tier 1 - Customer.CustomerStatic)
Dim_Customer,CampaignID,description,Marketing campaign ID under which the customer was acquired. FK to BackOffice.Campaign. NULL for organically acquired customers. (Tier 1 — Customer.CustomerStatic),Marketing campaign ID under which the customer was acquired. FK to BackOffice.Campaign. 0 for organically acquired customers (NULLs are converted to 0 by SP_Dim_Customer).,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,158,llm,WRONG,"ISNULL(CampaignID,0) AS CampaignID",Marketing campaign ID under which the customer was acquired. FK to BackOffice.Campaign. NULL for organically acquired customers. (Tier 1 — Customer.CustomerStatic)
Dim_Customer,CampaignID,description,Marketing campaign ID under which the customer was acquired. FK to BackOffice.Campaign. NULL for organically acquired customers. (Tier 1 - Customer.CustomerStatic),Marketing campaign ID under which the customer was acquired. FK to BackOffice.Campaign. 0 for organically acquired customers (NULLs are converted to 0 by SP_Dim_Customer).,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,51,llm,WRONG,"ISNULL(CampaignID,0) AS CampaignID",Marketing campaign ID under which the customer was acquired. FK to BackOffice.Campaign. NULL for organically acquired customers. (Tier 1 - Customer.CustomerStatic)
