claim_id,wiki_md,line_no,column_name,n_enum_entries,claimed_pairs,current_desc,enum_block,target_dim,resolution_strategy,target_dim_md,validation_status,delusional_ids,mismatched_labels,missing_ids
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Documents_Request.md::AML_Rank::L155,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Documents_Request.md,155,AML_Rank,5,0=None (standard-risk country; 1=High risk country; 2=High risk new clients; 3=High risk FATF jurisdictions (8 countries; 4=Verified before deposit (not high-risk,"Country-level AML risk tier from Dim_Country.RiskGroupID. Values: 0=None (standard-risk country), 1=High risk country, 2=High risk new clients, 3=High risk FATF jurisdictions (8 countries), 4=Verified before deposit (not high-risk, special compliance requirement, e.g., Israel). Is_HRC flag uses AML_Rank IN(1,2,3). (Tier 1 - upstream wiki, Dim_Country)","0=None (standard-risk country), 1=High risk country, 2=High risk new clients, 3=High risk FATF jurisdictions (8 countries), 4=Verified before deposit (not high-risk",Dictionary.AMLRank,irregular_map,,unverifiable,[],[],[]
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_High_Risk_Wallet.md::RiskGroupID::L137,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_High_Risk_Wallet.md,137,RiskGroupID,4,0=None (standard-risk country; 1=High risk country; 2=High risk new clients; 3=High risk FATF jurisdictions (8 countries,"Country-level AML risk tier from Dim_Country.RiskGroupID. Values: 0=None (standard-risk country), 1=High risk country, 2=High risk new clients, 3=High risk FATF jurisdictions (8 countries), 4=Verified before deposit (special compliance requirement, not high-risk). Used to further stratify High-AML-Risk customers by their country of residence risk tier. (Tier 1 - upstream wiki, Dim_Country)","0=None (standard-risk country), 1=High risk country, 2=High risk new clients, 3=High risk FATF jurisdictions (8 countries",Dictionary.RiskGroup,irregular_map,,unverifiable,[],[],[]
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_IOB_Report.md::VerificationLevelID::L175,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_IOB_Report.md,175,VerificationLevelID,3,1=registered; 2=partially verified; 3=fully verified,"KYC verification level. No filter applied — all levels present (1=registered, 2=partially verified, 3=fully verified). Sourced from BackOffice.Customer. (Tier 1 - BackOffice.Customer via Dim_Customer)","1=registered, 2=partially verified, 3=fully verified",Dim_VerificationLevel,heuristic_<X>ID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_VerificationLevel.md,mismatched_labels,[],"[{""id"": 1, ""claimed"": ""registered"", ""canonical"": ""Basic (limited trading""}, {""id"": 2, ""claimed"": ""partially verified"", ""canonical"": ""Intermediate (POI submitted""}, {""id"": 3, ""claimed"": ""fully verified"", ""canonical"": ""Full KYC (all features unlocked""}]","[-1, 0]"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Periodic_Review_HR.md::CountryRank::L154,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Periodic_Review_HR.md,154,CountryRank,3,0=no tier assigned (majority; 1=highest-risk jurisdictions; 4=intermediate risk tiers,"AML risk tier of the customer's country of residence from the GRC list. 0=no tier assigned (majority), 1=highest-risk jurisdictions, 2–4=intermediate risk tiers. (Tier 3 — External_Fivetran_google_sheets_grc_list)","0=no tier assigned (majority), 1=highest-risk jurisdictions, 2–4=intermediate risk tiers",Dictionary.CountryRank,irregular_map,,unverifiable,[],[],[]
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_PI_Abuse.md::GuruStatusID::L38,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_PI_Abuse.md,38,GuruStatusID,9,0=No (non-PI; 1=Certified; 2=Cadet; 3=Rising Star; 4=Champion; 5=Elite; 6=Elite Pro; 7=Removed; 8=Rejected,"Primary key identifying the PI program state. 0=No (non-PI), 1=Certified, 2=Cadet, 3=Rising Star, 4=Champion, 5=Elite, 6=Elite Pro, 7=Removed, 8=Rejected. Population gate requires GuruStatusID≥2 (Cadet+). (Tier 1 — Dictionary.GuruStatus)","0=No (non-PI), 1=Certified, 2=Cadet, 3=Rising Star, 4=Champion, 5=Elite, 6=Elite Pro, 7=Removed, 8=Rejected",Dim_GuruStatus,heuristic_<X>ID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_GuruStatus.md,mismatched_labels,[],"[{""id"": 0, ""claimed"": ""No (non-PI"", ""canonical"": ""regular customer""}, {""id"": 7, ""claimed"": ""Removed"", ""canonical"": ""currently active in PI program""}]",[]
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SubEntity_Categorization.md::RegulationID::L147,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SubEntity_Categorization.md,147,RegulationID,4,1=CySEC; 2=FCA; 4=ASIC; 9=FSA Seychelles,"Regulatory entity governing this account. FK to Dictionary.Regulation. Changes trigger RegulationChangeDate update. In this table: 1=CySEC, 2=FCA, 4=ASIC, 9=FSA Seychelles, 10=ASIC&GAML only (other regulations are excluded by SP eligibility criteria). (Tier 1 — BackOffice.Customer)","1=CySEC, 2=FCA, 4=ASIC, 9=FSA Seychelles",Dim_Regulation,heuristic_<X>ID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Regulation.md,partial,[],[],"[0, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14]"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SubEntity_Categorization.md::VerificationLevelID::L150,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SubEntity_Categorization.md,150,VerificationLevelID,4,0=unverified; 1=partial; 2=intermediate; 3=fully verified,"KYC verification level. FK to Dictionary.VerificationLevel. Values: 0=unverified, 1=partial, 2=intermediate, 3=fully verified. Default=0. Only VerLevel≥2 customers are in this table; 99.999% are VerLevel=3. (Tier 1 — BackOffice.Customer)","0=unverified, 1=partial, 2=intermediate, 3=fully verified",Dim_VerificationLevel,heuristic_<X>ID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_VerificationLevel.md,mismatched_labels,[],"[{""id"": 1, ""claimed"": ""partial"", ""canonical"": ""Basic (limited trading""}, {""id"": 3, ""claimed"": ""fully verified"", ""canonical"": ""Full KYC (all features unlocked""}]",[-1]
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AMLPeriodicReview_PostReview.md::KYC_Country_Rank::L143,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AMLPeriodicReview_PostReview.md,143,KYC_Country_Rank,5,0=None (safe; 1=High risk; 2=High risk new clients; 3=FATF high risk; 4=Verified before deposit,"AML risk group rank of the KYC country (Dim_Country.RiskGroupID). 0=None (safe), 1=High risk, 2=High risk new clients, 3=FATF high risk, 4=Verified before deposit. Used in RoutineMonitoringRedFlagsHRC checks. (Tier 1 — BI_DB_dbo.BI_DB_AMLPeriodicReview wiki via Dim_Country.RiskGroupID)","0=None (safe), 1=High risk, 2=High risk new clients, 3=FATF high risk, 4=Verified before deposit",Dictionary.CountryRank,irregular_map,,unverifiable,[],[],[]
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Blocked_Customers.md::MifidCategorizationID::L155,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Blocked_Customers.md,155,MifidCategorizationID,3,1=Retail; 4=Retail Pending; 5=Pending,"MiFID II investor classification. FK to Dictionary.MifidCategorization. Values: 1=Retail, 4=Retail Pending, 5=Pending. Default=1. Passthrough from Dim_Customer. (Tier 1 — BackOffice.Customer)","1=Retail, 4=Retail Pending, 5=Pending",Dim_MifidCategorization,heuristic_<X>ID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_MifidCategorization.md,partial,[],[],"[0, 2, 3]"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Blocked_Customers.md::VerificationLevelID::L166,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Blocked_Customers.md,166,VerificationLevelID,4,0=unverified; 1=partial; 2=intermediate; 3=fully verified,"KYC verification level. FK to Dictionary.VerificationLevel. Values: 0=unverified, 1=partial, 2=intermediate, 3=fully verified. Default=0. Passthrough from Dim_Customer. (Tier 1 — BackOffice.Customer)","0=unverified, 1=partial, 2=intermediate, 3=fully verified",Dim_VerificationLevel,heuristic_<X>ID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_VerificationLevel.md,mismatched_labels,[],"[{""id"": 1, ""claimed"": ""partial"", ""canonical"": ""Basic (limited trading""}, {""id"": 3, ""claimed"": ""fully verified"", ""canonical"": ""Full KYC (all features unlocked""}]",[-1]
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CashRiskMatrix.md::InstrumentType::L156,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CashRiskMatrix.md,156,InstrumentType,6,1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies,"ETL-computed asset class label. CASE on InstrumentTypeID: 1=Currencies, 2=Commodities, 4=Indices, 5=Stocks, 6=ETF, 10=Crypto Currencies, else Other. (Tier 1 — DWH_dbo.Dim_Instrument.InstrumentType via SP_Dim_Instrument)","1=Currencies, 2=Commodities, 4=Indices, 5=Stocks, 6=ETF, 10=Crypto Currencies",Dim_Instrument,irregular_map,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Instrument.md,partial,[],[],"[0, 3, 7, 8, 9]"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_DailyPanel_Club.md::CurrentTier::L228,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_DailyPanel_Club.md,228,CurrentTier,6,1=Bronze; 5=Silver; 3=Gold; 2=Platinum; 6=Platinum Plus; 7=Diamond,"PlayerLevelID of the customer's current club tier as of DateID. Non-sequential: 1=Bronze, 5=Silver, 3=Gold, 2=Platinum, 6=Platinum Plus, 7=Diamond. Use JOIN to Dim_PlayerLevel for display names. (T1 - DWH_dbo.Dim_PlayerLevel wiki)","1=Bronze, 5=Silver, 3=Gold, 2=Platinum, 6=Platinum Plus, 7=Diamond",Dim_PlayerLevel,irregular_map,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerLevel.md,mismatched_labels,[],"[{""id"": 5, ""claimed"": ""Silver"", ""canonical"": ""Platinum Plus""}, {""id"": 2, ""claimed"": ""Platinum"", ""canonical"": ""Silver""}, {""id"": 6, ""claimed"": ""Platinum Plus"", ""canonical"": ""Diamond""}]","[0, 4]"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_LifeStageDefinition.md::PlayerLevelID::L212,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_LifeStageDefinition.md,212,PlayerLevelID,6,1=Bronze; 5=Silver; 3=Gold; 2=Platinum; 6=Platinum Plus; 7=Diamond,"Customer's Club tier at the time of the LSD transition (from Fact_SnapshotCustomer). Same non-sequential ID mapping as Dim_PlayerLevel: 1=Bronze, 5=Silver, 3=Gold, 2=Platinum, 6=Platinum Plus, 7=Diamond. Used to determine ""Club"" vs. non-Club variants of Active Open / Holder stages. (T2 - SP_CID_LifeStageDefinition)","1=Bronze, 5=Silver, 3=Gold, 2=Platinum, 6=Platinum Plus, 7=Diamond",Dim_PlayerLevel,heuristic_<X>ID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerLevel.md,mismatched_labels,[],"[{""id"": 5, ""claimed"": ""Silver"", ""canonical"": ""Platinum Plus""}, {""id"": 2, ""claimed"": ""Platinum"", ""canonical"": ""Silver""}, {""id"": 6, ""claimed"": ""Platinum Plus"", ""canonical"": ""Diamond""}]","[0, 4]"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_VerificationLevel.md::VerificationLevelID::L150,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_VerificationLevel.md,150,VerificationLevelID,3,1=Level 1 (email/questionnaire; 2=Level 2 (POI submitted; 3=Level 3 (POI + POA confirmed,"KYC verification level achieved: 1=Level 1 (email/questionnaire), 2=Level 2 (POI submitted), 3=Level 3 (POI + POA confirmed, full platform access). Level 0 (unverified) is NOT stored. FK into DWH_dbo.Dim_VerificationLevel. (T1 - DWH_dbo.Dim_VerificationLevel wiki)","1=Level 1 (email/questionnaire), 2=Level 2 (POI submitted), 3=Level 3 (POI + POA confirmed",Dim_VerificationLevel,heuristic_<X>ID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_VerificationLevel.md,mismatched_labels,[],"[{""id"": 1, ""claimed"": ""Level 1 (email/questionnaire"", ""canonical"": ""Basic (limited trading""}, {""id"": 2, ""claimed"": ""Level 2 (POI submitted"", ""canonical"": ""Intermediate (POI submitted""}, {""id"": 3, ""claimed"": ""Level 3 (POI + POA confirmed"", ""canonical"": ""Full KYC (all features unlocked""}]","[-1, 0]"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_Balance_CID_Level_New.md::Compensation::L188,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_Balance_CID_Level_New.md,188,Compensation,10,7=CompDeposit; 52=Affiliate; 11=NegRefill; 19=NWAAdj; 22=PnLAdj; 30=DormantFee; 31=LostDebt; 32=Foreclosure; 33=CompCashout; 50=PI,"General compensation. SUM(Amount) from Fact_CustomerAction WHERE ActionTypeID=36 AND CompensationReasonID NOT IN (7,8,11,18,19,22,30,31,32,33,34,36,37,38,40,41,50,51,52). Excluded IDs are captured in dedicated columns (7=CompDeposit, 8/51/52=Affiliate, 11=NegRefill, 19=NWAAdj, 22=PnLAdj, 30=DormantFee, 31=LostDebt, 32=Foreclosure, 33=CompCashout, 41/50=PI). Reason 17 re-included per SR-280376 (Nov 2024). (Tier 2 — SP_Client_Balance_New)","7=CompDeposit, 8/51/52=Affiliate, 11=NegRefill, 19=NWAAdj, 22=PnLAdj, 30=DormantFee, 31=LostDebt, 32=Foreclosure, 33=CompCashout, 41/50=PI",Dim_CompensationReason,irregular_map,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CompensationReason.md,delusional,"[7, 52, 11, 19, 22, 30, 31, 32, 33, 50]",[],"[1, 4, 9, 10, 16, 23, 35, 45, 48]"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ClubChangeLog.md::CurrentLevel::L154,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ClubChangeLog.md,154,CurrentLevel,6,1=Bronze; 5=Silver; 3=Gold; 2=Platinum; 6=Platinum+; 7=Diamond,"PlayerLevelID of the customer's club BEFORE this change. NULL for 'First Club' events (customer has no prior history). Non-sequential IDs: 1=Bronze, 5=Silver, 3=Gold, 2=Platinum, 6=Platinum+, 7=Diamond. Use CurrentSort for ordering. (Tier 2 — SP_ClubChangeLog)","1=Bronze, 5=Silver, 3=Gold, 2=Platinum, 6=Platinum+, 7=Diamond",Dim_PlayerLevel,irregular_map,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerLevel.md,mismatched_labels,[],"[{""id"": 5, ""claimed"": ""Silver"", ""canonical"": ""Platinum Plus""}, {""id"": 2, ""claimed"": ""Platinum"", ""canonical"": ""Silver""}, {""id"": 6, ""claimed"": ""Platinum+"", ""canonical"": ""Diamond""}]","[0, 4]"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ClubChangeLogProduct.md::OldTier::L137,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ClubChangeLogProduct.md,137,OldTier,6,1=Bronze; 2=Platinum; 3=Gold; 5=Silver; 6=Platinum Plus; 7=Diamond,"Previous loyalty tier PlayerLevelID before this change. NULL for FirstClub/First Club events (no prior tier). FK to Dim_PlayerLevel. Not in rank order — use OldSort for ordering. 1=Bronze, 2=Platinum, 3=Gold, 5=Silver, 6=Platinum Plus, 7=Diamond. (Tier 2 — SP_ClubChangeLogProduct)","1=Bronze, 2=Platinum, 3=Gold, 5=Silver, 6=Platinum Plus, 7=Diamond",Dim_PlayerLevel,irregular_map,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerLevel.md,mismatched_labels,[],"[{""id"": 2, ""claimed"": ""Platinum"", ""canonical"": ""Silver""}, {""id"": 5, ""claimed"": ""Silver"", ""canonical"": ""Platinum Plus""}, {""id"": 6, ""claimed"": ""Platinum Plus"", ""canonical"": ""Diamond""}]","[0, 4]"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ClubChangeLogProduct.md::OldSort::L139,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ClubChangeLogProduct.md,139,OldSort,6,1=Bronze; 2=Silver; 3=Gold; 4=Platinum; 5=Platinum Plus; 6=Diamond,"Previous tier sort order from Dim_PlayerLevel.Sort. NULL for FirstClub events. 1=Bronze, 2=Silver, 3=Gold, 4=Platinum, 5=Platinum Plus, 6=Diamond. Use this column (not OldTier) for rank ordering. (Tier 2 — SP_ClubChangeLogProduct)","1=Bronze, 2=Silver, 3=Gold, 4=Platinum, 5=Platinum Plus, 6=Diamond",,irregular_map,,no_target,[],[],[]
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ClubChangeLogProduct.md::CurrentTier::L140,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ClubChangeLogProduct.md,140,CurrentTier,6,1=Bronze; 2=Platinum; 3=Gold; 5=Silver; 6=Platinum Plus; 7=Diamond,"Current loyalty tier PlayerLevelID from Fact_SnapshotCustomer on the event date. FK to Dim_PlayerLevel. Non-sequential: 1=Bronze, 2=Platinum, 3=Gold, 5=Silver, 6=Platinum Plus, 7=Diamond. Use CurrentSort for ordering. (Tier 2 — SP_ClubChangeLogProduct)","1=Bronze, 2=Platinum, 3=Gold, 5=Silver, 6=Platinum Plus, 7=Diamond",Dim_PlayerLevel,irregular_map,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerLevel.md,mismatched_labels,[],"[{""id"": 2, ""claimed"": ""Platinum"", ""canonical"": ""Silver""}, {""id"": 5, ""claimed"": ""Silver"", ""canonical"": ""Platinum Plus""}, {""id"": 6, ""claimed"": ""Platinum Plus"", ""canonical"": ""Diamond""}]","[0, 4]"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ClubChangeLogProduct.md::CurrentSort::L142,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ClubChangeLogProduct.md,142,CurrentSort,6,1=Bronze; 2=Silver; 3=Gold; 4=Platinum; 5=Platinum Plus; 6=Diamond,"Current tier sort order from Dim_PlayerLevel.Sort. 1=Bronze, 2=Silver, 3=Gold, 4=Platinum, 5=Platinum Plus, 6=Diamond. Use this column for correct tier rank ordering. (Tier 2 — SP_ClubChangeLogProduct)","1=Bronze, 2=Silver, 3=Gold, 4=Platinum, 5=Platinum Plus, 6=Diamond",,irregular_map,,no_target,[],[],[]
