sample_idx,stratum,wiki_path,column,old_description,new_description,verdict_placeholder
11,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_SpotAdjustFee.md,AffiliateID,Direct,Affiliate/partner who referred this customer. DEFAULT 0. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution),
12,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_InterestFee.md,EvMatchStatus,Direct,eVerify (identity verification) match status. DEFAULT 0. Source: Ext_FSC_BackOffice_Customer.EvMatchStatus (BO). FK to Dim_EvMatchStatus. (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer),
13,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Dividend.md,GuruStatusID,Direct,Popular Investor (Guru) program status. DEFAULT 0. FK to Dim_GuruStatus. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution),
14,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_StakingFee.md,RiskClassificationID,Direct,Risk classification tier for compliance. DEFAULT 0. Source: Ext_FSC_BackOffice_Customer.RiskClassificationID (BO). FK to Dim_RiskClassification. (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer),
15,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_StakingFee.md,IsPhoneVerified,Direct,"1 if the customer's phone number has been verified (PhoneVerifiedID IN (1,2) in source). Source: Ext_FSC_PhoneCustomer. (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer)",
16,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_SpotAdjustFee.md,RealCID,Direct,Real-account Customer ID. References Dim_Customer.RealCID. Each customer has one real CID. Passthrough from Fact_CustomerAction.RealCID. (Tier 1 — Customer.CustomerStatic) (via BI_DB_Fact_Customer_Action_Position_Distribution),
17,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_ConversionFee_WithPositionData.md,CID,Direct,"Internal customer id (**RealCID**) from deposit or cashout state. (Tier 2 -SP_DepositWithdrawFee, Fact_Deposit_State.CID / Fact_Cashout_State.CID) (via BI_DB_DepositWithdrawFee)",
18,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_ConversionFee_WithPositionData.md,BaseExchangeRate,Direct,"Base FX rate from state. (Tier 2 -SP_DepositWithdrawFee, Fact_*_State.BaseExchangeRate) (via BI_DB_DepositWithdrawFee)",
19,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_InterestFee.md,AffiliateID,Direct,Affiliate/partner who referred this customer. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.AffiliateID (CC). (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer),
20,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_DormantFee.md,PendingClosureStatusID,Direct,Status of a pending account closure request. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.PendingClosureStatusID (CC). FK to Dim_PendingClosureStatus. (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer),
21,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Trading_Fees_Breakdown.md,ActionTypeID,Direct,"Event type classifier. Filtered to 4 values: 35 (ticket fees, ~97%), 36 (compensations with reason 56/117/118), 32 (edit stop-loss), 19 (detach from mirror). FK to Dim_ActionType. (Tier 1 — DWH_dbo.Fact_CustomerAction) (via BI_DB_Fact_Customer_Action_Position_Distribution)",
22,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_ConversionFee_WithPositionData.md,LabelID,Direct,"Brand/label associated with the customer (e.g., eToro UK, eToro Australia). DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.LabelID (CC). FK to Dim_Label. Labels 26 and 30 excluded from valid customer segment. (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer)",
23,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Instrument_Snapshot_Enriched.md,CompanyInfo,Direct,Extended company/instrument description. Nullable. (Tier 1 — Trade.InstrumentMetaData) (via Dim_Instrument),
24,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Instrument_Snapshot_Enriched.md,IsFuture,Direct,"1=futures contract (instrument in Trade.InstrumentGroups WHERE GroupID=25), 0=not futures. 243 flagged as futures. (Tier 2 — SP_Dim_Instrument) (via Dim_Instrument)",
25,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,LabelID,Direct,"Brand/label associated with the customer (e.g., eToro UK, eToro Australia). DEFAULT 0. FK to Dim_Label. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution)",
26,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Dividend.md,MifidCategorizationID,Direct,MiFID II client categorization (Retail/Professional/Eligible Counterparty). DEFAULT 0. FK to Dim_MifidCategorization. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution),
27,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_ConversionFee.md,LanguageID,Direct,Customer's preferred interface language. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.LanguageID (CC). FK to Dim_Language. (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer),
28,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_CryptoToFiat_C2F.md,SuitabilityTestStatusID,Direct,MiFID suitability test completion status. DEFAULT 0. Source: Ext_FSC_BackOffice_Customer.SuitabilityTestStatusID (BO). (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer),
29,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_RolloverFee.md,PlayerStatusID,Direct,"Customer lifecycle status (e.g., Active, Blocked, Pending). DEFAULT 0. FK to Dim_PlayerStatus. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution)",
30,other,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_FullCommissions.md,IsPhoneVerified,Direct,"1 if the customer's phone number has been verified (PhoneVerifiedID IN (1,2) in source). Source: Ext_FSC_PhoneCustomer. (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer)",
