long_concept,long_hubs,sub_concept,sub_hubs,foreign_hubs
per-row pips production conversion fee for a customer,domain-payments,conversion fee,domain-revenue-and-fees,domain-revenue-and-fees
daily balance per emoney customer program as of date y,domain-payments,as of date,cross-cutting,cross-cutting
card lifecycle issue - activate - block - expire for one cid,domain-payments,card lifecycle,domain-cross,domain-cross
apex us options aum per customer on date d,domain-payments,us options,domain-options,domain-options
apex us options aum per customer on date d,domain-payments,options aum,domain-options,domain-options
reconcile apex sod cash activity vs internal buyingpower for apexaccountid x,domain-payments,apex sod,domain-cross,domain-cross
position lifecycle from iban deposit trade close back to iban,domain-payments,position lifecycle,domain-trading,domain-trading
customer count by daily status active ftf funded balance only portfolio only,domain-payments,balance only,domain-customer-and-identity,domain-customer-and-identity
customer count by daily status active ftf funded balance only portfolio only,domain-payments,portfolio only,domain-customer-and-identity,domain-customer-and-identity
first-time-deposit cohort size in q this year cross-platform,domain-payments,cohort size,domain-customer-and-identity,domain-customer-and-identity
customer x s deposit history with provider chargeback detail,domain-payments,provider chargeback,domain-cross,domain-cross
crypto wallet on-chain redemption volume per asset,domain-payments,crypto wallet,domain-exw-wallet,domain-exw-wallet
crypto wallet on-chain redemption volume per asset,domain-payments,per asset,domain-revenue-and-fees,domain-revenue-and-fees
apex sod reconciliation cash buyingpower options portfolio,domain-payments,apex sod,domain-cross,domain-cross
apex sod reconciliation cash buyingpower options portfolio,domain-payments,sod reconciliation,domain-trading,domain-trading
is the openbanking deposit rejection rate trending up,domain-payments,rejection rate,domain-trading,domain-trading
refer a friend experiment,domain-product-analytics,refer a friend,domain-marketing-and-acquisition,domain-marketing-and-acquisition
copy trade post,domain-product-analytics,copy trade,domain-trading,domain-trading
refer a friend - card view,domain-product-analytics,refer a friend,domain-marketing-and-acquisition,domain-marketing-and-acquisition
how do i get pageview counts by instrument from gold_mixpanel_marketpageviews,domain-product-analytics,by instrument,domain-trading,domain-trading
transfer coin fee,domain-revenue-and-fees,transfer coin,domain-exw-wallet,domain-exw-wallet
options reasoning form,domain-revenue-and-fees,reasoning form,domain-options,domain-options
revenue by instrument,domain-revenue-and-fees,by instrument,domain-trading,domain-trading
spaceship net deposits,domain-spaceship,net deposits,domain-payments,domain-payments
show the sql for the dashboard net deposits widget v_spaceship_mimo version,domain-spaceship,net deposits,domain-payments,domain-payments
why does the voyager net deposits widget have portfolio and cohort splits,domain-spaceship,net deposits,domain-payments,domain-payments
net deposits definition,domain-spaceship,net deposits,domain-payments,domain-payments
spaceship net deposits super money,domain-spaceship,net deposits,domain-payments,domain-payments
how is customer money net deposits defined which transaction_types qualify,domain-spaceship,net deposits,domain-payments,domain-payments
what s the voyager net deposits cohort split threshold,domain-spaceship,net deposits,domain-payments,domain-payments
spaceship fees view,domain-spaceship,spaceship fees,domain-revenue-and-fees,domain-revenue-and-fees
voyager mgmt fee pro-rating,domain-spaceship,voyager mgmt fee,domain-revenue-and-fees,domain-revenue-and-fees
how does voyager mgmt fee pro-rating work in v_spaceship_fees and why nav 0 portfolios needed a fix,domain-spaceship,voyager mgmt fee,domain-revenue-and-fees,domain-revenue-and-fees
crypto trading ops,domain-trading,trading ops,domain-staking,domain-staking
net trading revenue,domain-trading,trading revenue,domain-revenue-and-fees,domain-revenue-and-fees
net trading revenue by asset class last month,domain-trading,trading revenue,domain-revenue-and-fees,domain-revenue-and-fees
net trading revenue by asset class last month,domain-trading,revenue by asset,domain-revenue-and-fees,domain-revenue-and-fees
active trader count,domain-trading,active trader,domain-customer-and-identity,domain-customer-and-identity
